DRS_ID	OwnerSuppliedName	Geographic Scope	URN
43356221	007186903_0046	Europe	urn-3:FHCL:8645143
43356224	007186903_0049	Northwest Netherlands	urn-3:FHCL:8645146
43356227	007186903_0052	Southwest Netherlands	urn-3:FHCL:8645149
43356230	007186903_0055	Calais and English Channel	urn-3:FHCL:8645152
43356233	007186903_0058	Jersey and Guernsey	urn-3:FHCL:8645155
43356236	007186903_0061	Saint-Brieuc and Vicinity	urn-3:FHCL:8645158
43356239	007186903_0064	Celtic Sea	urn-3:FHCL:8645161
43356242	007186903_0067	Bay of Biscay/Saint-Nazaire	urn-3:FHCL:8645164
43356245	007186903_0070	Bay of Biscay/La Rochelle	urn-3:FHCL:8645167
43356248	007186903_0073	Bay of Biscay/Bilbao	urn-3:FHCL:8645170
43356251	007186903_0076	Bay of Biscay/Santander	urn-3:FHCL:8645173
43356254	007186903_0079	Bay of Biscay/Gijon	urn-3:FHCL:8645176
43356257	007186903_0082	Bay of Biscay/Ribadeo	urn-3:FHCL:8645179
43356260	007186903_0085	Northwest Spain	urn-3:FHCL:8645182
43356263	007186903_0088	Vigo and Vicinity	urn-3:FHCL:8645185
43356266	007186903_0091	Vila do Conde and Vicinity	urn-3:FHCL:8645188
43356269	007186903_0094	Lisbon and Vicinity	urn-3:FHCL:8645191
43356272	007186903_0097	Southern Portugal	urn-3:FHCL:8645194
43356275	007186903_0100	Cadiz and Vicinity	urn-3:FHCL:8645197
43356278	007186903_0103	Bristol and Vicinity	urn-3:FHCL:8645200
43356283	007186903_0108	Southwest England	urn-3:FHCL:8645205
43356286	007186903_0111	Exeter and Vicinity	urn-3:FHCL:8645208
43356289	007186903_0114	Portsmouth and Vicinity	urn-3:FHCL:8645211
43356292	007186903_0117	Colchester and Vicinity	urn-3:FHCL:8645214
43356295	007186903_0120	Great Yarmouth and Vicinity	urn-3:FHCL:8645217
43356298	007186903_0123	Hull and Vicinity	urn-3:FHCL:8645220
43356301	007186903_0126	New Castle Upon Tyne and Vicinity	urn-3:FHCL:8645223
43356304	007186903_0129	Edinburgh and Vicinity	urn-3:FHCL:8645226
43356307	007186903_0132	Bergen and Stavanger	urn-3:FHCL:8645229
43356310	007186903_0135	Kristiansand and Vicinity	urn-3:FHCL:8645232
43356313	007186903_0138	Oslo and Vicinity	urn-3:FHCL:8645235
43356316	007186903_0141	Gothenburg and Vicinity	urn-3:FHCL:8645238
43356319	007186903_0144	Copenhagen and Vicinity	urn-3:FHCL:8645241
43356322	007186903_0147	Bornholm and Vicinity	urn-3:FHCL:8645244
43356325	007186903_0150	Southeast Sweden	urn-3:FHCL:8645247
43356328	007186903_0153	Gulf of Finland	urn-3:FHCL:8645250
43356331	007186903_0156	Haapsalu and Vicinity	urn-3:FHCL:8645253
43356334	007186903_0159	Gulf of Riga	urn-3:FHCL:8645256
43356337	007186903_0162	Saaremaa and Irbe Strait	urn-3:FHCL:8645259
43356340	007186903_0165	Kaliningrad and Vicinity	urn-3:FHCL:8645262
43356343	007186903_0168	Northern Coast of Poland	urn-3:FHCL:8645265
43356346	007186903_0171	Northern Coast of Germany	urn-3:FHCL:8645268
43356349	007186903_0174	Eastern Denmark	urn-3:FHCL:8645271
43356352	007186903_0177	Northern Denmark	urn-3:FHCL:8645274
43356355	007186903_0180	Southwestern Denmark	urn-3:FHCL:8645277
43356358	007186903_0183	Northwestern Germany	urn-3:FHCL:8645280
43356361	007186903_0186	Northern Netherlands	urn-3:FHCL:8645283
